Date;SMB;Mkt;val
01.01.2012;2,03;3,7073;2,424
02.01.2012;-1,85;2,8674;2,2648
03.01.2012;-0,65;1,6623;-0,7094
04.01.2012;-0,41;3,2593;-1,8359
05.01.2012;0,07;-1,6623;-0,4256
06.01.2012;0,67;-5,554;-2,3697
07.01.2012;-2,77;5,2174;1,3631
08.01.2012;0,48;4,2551;-3,5692
09.01.2012;0,51;0,5144;4,5951
10.01.2012;-1,16;2,7071;0,5216
11.01.2012;0,64;0,5605;2,5589
12.01.2012;1,5;2,2996;0,0874
01.01.2013;0,33;-0,0103;-7,3337
02.01.2013;-0,28;8,4624;-2,4073
03.01.2013;0,81;2,9484;-0,0762
04.01.2013;-2,36;3,0594;-3,1549
05.01.2013;1,73;2,4866;-1,8023
06.01.2013;1,33;-1,0944;2,2297
07.01.2013;1,86;-0,5639;-3,4767
08.01.2013;0,28;1,263;1,4623
09.01.2013;2,91;1,161;2,0578
10.01.2013;-1,56;2,1668;1,517
11.01.2013;1,29;2,1566;3,7459
12.01.2013;-0,45;0,5279;-1,2161
01.01.2014;0,9;-0,2921;1,3708
02.01.2014;0,37;-1,1731;1,6807
03.01.2014;-1,85;2,9361;0,0822
04.01.2014;-4,2;2,8839;-1,6002
05.01.2014;-1,88;1,5171;5,1824
06.01.2014;3,08;2,8275;-3,2453
07.01.2014;-4,29;-0,7544;-13,968
08.01.2014;0,4;-2,1029;-1,0211
09.01.2014;-3,72;3,7087;-3,5164
10.01.2014;4,2;0,1245;2,0859
11.01.2014;-2,06;-0,4681;-0,3539
12.01.2014;2,49;4,3983;-4,2944
01.01.2015;-0,55;-0,8632;0,3402
02.01.2015;0,61;-5,3056;-2,092
03.01.2015;3,04;8,7202;-6,675
04.01.2015;-3,03;2,8036;-8,5395
05.01.2015;0,92;1,4956;-0,564
06.01.2015;2,9;2,9676;-1,2578
07.01.2015;-4,19;-3,1294;2,2787
08.01.2015;0,33;6,8889;-4,4457
09.01.2015;-2,63;-7,759;4,909
10.01.2015;-1,87;-0,4861;1,3474
11.01.2015;3,59;6,1671;-3,1535
12.01.2015;-2,82;1,8113;-3,706
01.01.2016;-3,43;-0,842;1,7981
02.01.2016;0,71;-4,5955;-0,4243
03.01.2016;0,82;-1,9494;0,3166
04.01.2016;0,74;-1,0748;3,679
05.01.2016;-0,18;5,2051;2,6097
06.01.2016;0,6;3,8431;-3,7653
07.01.2016;2,51;-0,5755;0,2608
08.01.2016;1,18;1,7872;0,8882
09.01.2016;2,13;1,1287;0,6731
10.01.2016;-4,42;1,3604;1,8068
11.01.2016;5,67;-3,8292;5,2193
12.01.2016;0,08;0,9448;0,6845
01.01.2017;-1,14;5,8564;0,5994
02.01.2017;-2,02;2,2727;-1,4868
03.01.2017;1,14;4,5949;-0,7941
04.01.2017;0,72;2,4171;0,6094
05.01.2017;-2,52;4,4751;-0,9214
06.01.2017;2,23;3,6532;2,0962
07.01.2017;-1,46;0,3957;1,8172
08.01.2017;-1,67;1,4786;4,2127
09.01.2017;4,46;-0,3378;3,173
10.01.2017;-1,93;4,0548;-1,5355
11.01.2017;-0,58;1,6886;-0,364
12.01.2017;-1,32;0,5595;-0,8845
01.01.2018;-3,15;1,9964;0,1016
02.01.2018;0,23;0,2529;2,1009
03.01.2018;4,05;-4,656;3,1979
04.01.2018;1,14;1,4094;4,5796
05.01.2018;5,26;4,0115;2,557
06.01.2018;1,15;-1,081;-0,889
07.01.2018;-2,22;-0,1978;3,0429
08.01.2018;1,12;7,1634;-1,6557
09.01.2018;-2,28;-0,4752;-2,5815
10.01.2018;-4,77;1,5395;2,9127
11.01.2018;-0,68;-1,2123;6,6598
12.01.2018;-2,38;0,6577;1,6966
01.01.2019;2,9;-6,8407;5,9854
02.01.2019;2,05;7,843;-14,5181
03.01.2019;-3,03;5,2037;4,7802
04.01.2019;-1,74;3,5899;-14,5181
05.01.2019;-1,31;4,3859;-1,2457
06.01.2019;0,28;-0,1542;1,4495
07.01.2019;-1,93;4,4042;-1,5764
08.01.2019;-2,36;0,8964;-3,6166
09.01.2019;-0,97;0,9885;-1,2243
10.01.2019;0,29;0,792;0,6039
11.01.2019;0,78;3,0128;-0,5863
12.01.2019;0,73;1,822;-1,7502
01.01.2020;-3,1;3,2983;0,0508
02.01.2020;1,07;1,3228;4,7486
03.01.2020;-4,88;-5,9644;0
04.01.2020;2,49;-6,4917;23,3977
05.01.2020;2,48;6,9867;-7,6149
06.01.2020;2,7;3,5184;-14,5181
07.01.2020;-2,32;2,6753;2,1962
08.01.2020;-0,22;2,0756;-1,0443
09.01.2020;0,04;1,218;6,1467
10.01.2020;4,36;1,2959;-2,0399
11.01.2020;5,82;-3,6595;2,3944
12.01.2020;4,89;7,0094;4,5726
01.01.2021;7,34;3,4621;0,1453
02.01.2021;2,06;1,1367;-4,7652
03.01.2021;-2,37;0,6387;4,9409
04.01.2021;-3,19;6,4391;-1,6239
05.01.2021;-0,25;1,8852;1,5638
06.01.2021;1,7;4,0304;-1,317
07.01.2021;-3,99;5,0357;1,5359
08.01.2021;-0,43;2,4828;-2,9825
09.01.2021;0,72;2,9742;-4,1306
10.01.2021;-2,35;-5,6931;7,2861
11.01.2021;-1,32;6,0158;-0,8845
12.01.2021;-1,66;0,3149;2,4081
01.01.2022;-5,94;6,2363;-2,9201
02.01.2022;2,23;-4,5478;11,6771
03.01.2022;-1,6;-3,3029;3,6999
04.01.2022;-1,41;4,4145;2,0716
05.01.2022;-1,85;-0,2952;2,3832
06.01.2022;2,09;-3,4406;5,4128
